               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024703,            0.017292,           0.0035648,             0.74047,              0.7119,             0.74996,             0.45173,               0.025,            0.012086,           0.0071186,            0.006502,            0.006502,            0.006502
                  55,            0.023063,            0.016917,           0.0032555,             0.75941,             0.68506,             0.73636,             0.44454,            0.022425,            0.012003,           0.0073009,            0.006436,            0.006436,            0.006436
                  56,            0.023131,            0.018353,           0.0033336,             0.78789,             0.68128,             0.75932,             0.46593,             0.02285,            0.011868,           0.0082144,             0.00637,             0.00637,             0.00637
                  57,            0.022812,            0.017731,           0.0033963,             0.74797,             0.69753,             0.73231,             0.43177,             0.02278,            0.012036,             0.01216,            0.006304,            0.006304,            0.006304
                  58,            0.022363,            0.017632,           0.0034454,             0.73372,             0.73589,             0.75127,             0.45352,             0.02315,             0.01189,           0.0099834,            0.006238,            0.006238,            0.006238
                  59,            0.022369,            0.017139,           0.0033836,             0.81287,             0.68434,             0.76595,             0.46464,            0.023054,            0.012181,           0.0068366,            0.006172,            0.006172,            0.006172
                  60,             0.02286,            0.018062,            0.003354,             0.83217,             0.70904,             0.77901,             0.47132,            0.022997,            0.012044,           0.0061345,            0.006106,            0.006106,            0.006106
                  61,            0.023133,            0.017059,           0.0029475,             0.81946,             0.69163,             0.77327,             0.47818,            0.024002,            0.012134,           0.0067717,             0.00604,             0.00604,             0.00604
                  62,            0.022832,            0.017488,           0.0027681,             0.77402,             0.72169,             0.76706,             0.45953,            0.022634,            0.011991,           0.0071717,            0.005974,            0.005974,            0.005974
                  63,            0.022852,            0.016956,           0.0024139,              0.7989,             0.68603,             0.76621,             0.46501,            0.022648,            0.011813,            0.010781,            0.005908,            0.005908,            0.005908
                  64,            0.021248,            0.016348,           0.0028353,             0.81521,             0.69601,             0.76815,             0.45875,            0.022722,            0.011943,           0.0071517,            0.005842,            0.005842,            0.005842
                  65,            0.021618,            0.016465,           0.0027407,             0.73104,             0.72473,             0.76371,             0.47171,            0.022629,            0.012059,            0.011748,            0.005776,            0.005776,            0.005776
                  66,            0.022051,            0.016981,           0.0023815,             0.78587,             0.70878,             0.77298,             0.47617,            0.023166,            0.012208,            0.011348,             0.00571,             0.00571,             0.00571
                  67,            0.020421,            0.016631,           0.0026249,             0.79433,             0.70162,             0.77005,             0.48195,            0.022825,            0.012207,           0.0098305,            0.005644,            0.005644,            0.005644
                  68,            0.021625,            0.017613,           0.0027052,             0.78579,             0.71974,             0.77495,             0.46618,            0.022688,            0.012172,            0.006483,            0.005578,            0.005578,            0.005578
                  69,            0.021225,            0.016369,           0.0021743,             0.72997,              0.7593,              0.7709,             0.47328,            0.022147,            0.011929,           0.0092078,            0.005512,            0.005512,            0.005512
                  70,            0.020981,            0.016677,            0.002138,             0.75118,             0.75413,              0.7673,             0.46379,            0.022466,            0.012006,           0.0076929,            0.005446,            0.005446,            0.005446
                  71,            0.021147,            0.016182,           0.0024731,             0.77073,             0.76513,             0.77804,              0.4671,            0.023117,            0.012355,           0.0098143,             0.00538,             0.00538,             0.00538
                  72,            0.020325,            0.015556,           0.0021545,              0.8058,             0.75083,              0.7815,             0.48092,            0.021976,             0.01226,             0.01049,            0.005314,            0.005314,            0.005314
                  73,            0.021573,            0.017203,           0.0023549,             0.79456,             0.71526,             0.77139,             0.45907,            0.022471,             0.01203,            0.012272,            0.005248,            0.005248,            0.005248
                  74,             0.02018,              0.0168,           0.0024129,             0.87361,             0.69442,             0.78581,              0.4912,            0.022426,            0.012021,           0.0059471,            0.005182,            0.005182,            0.005182
                  75,            0.019994,            0.015353,           0.0022072,              0.8302,             0.74364,             0.78543,             0.48227,            0.021879,            0.011965,           0.0066421,            0.005116,            0.005116,            0.005116
                  76,            0.020683,             0.01623,           0.0021142,             0.81667,             0.74571,             0.78962,             0.49949,            0.021814,            0.011966,           0.0081604,             0.00505,             0.00505,             0.00505
                  77,             0.02038,            0.017216,           0.0022202,             0.82147,             0.70674,             0.76808,             0.46731,            0.021794,            0.011928,            0.011232,            0.004984,            0.004984,            0.004984
                  78,            0.019756,            0.016153,           0.0023418,             0.85248,             0.71517,             0.77289,             0.46634,            0.021914,            0.011965,           0.0064092,            0.004918,            0.004918,            0.004918
                  79,            0.020595,            0.016212,           0.0023517,             0.83626,             0.73292,             0.78352,             0.48813,            0.022638,            0.012073,           0.0086134,            0.004852,            0.004852,            0.004852
                  80,            0.019704,            0.016409,           0.0024082,             0.83258,             0.73215,             0.78151,             0.47807,            0.021996,            0.011972,           0.0054342,            0.004786,            0.004786,            0.004786
                  81,            0.019542,            0.016114,           0.0021881,             0.85457,             0.70977,             0.77403,             0.47931,            0.021756,             0.01185,           0.0064976,             0.00472,             0.00472,             0.00472
                  82,            0.020435,             0.01581,           0.0019574,              0.8775,             0.70056,             0.76799,             0.47335,            0.021741,             0.01197,           0.0089035,            0.004654,            0.004654,            0.004654
                  83,            0.020346,            0.016058,           0.0023214,             0.85044,             0.72533,             0.78302,             0.48582,            0.021757,            0.012077,            0.010539,            0.004588,            0.004588,            0.004588
                  84,            0.019387,            0.016454,           0.0021052,             0.81169,             0.71951,             0.79211,             0.48277,            0.022872,            0.012184,           0.0079589,            0.004522,            0.004522,            0.004522
                  85,            0.019559,            0.016272,           0.0020817,             0.84858,             0.72695,             0.78599,             0.47668,            0.022368,            0.012201,           0.0070042,            0.004456,            0.004456,            0.004456
                  86,            0.020177,            0.016292,           0.0019493,             0.89747,             0.70677,             0.79037,             0.48487,            0.022514,            0.012076,           0.0066098,             0.00439,             0.00439,             0.00439
                  87,            0.018352,            0.015971,           0.0020389,             0.79962,             0.74965,             0.77562,             0.48584,            0.021846,            0.012069,           0.0089755,            0.004324,            0.004324,            0.004324
                  88,            0.020441,            0.016652,           0.0015873,             0.86074,             0.72242,             0.77753,             0.47906,             0.02248,            0.012204,           0.0091912,            0.004258,            0.004258,            0.004258
                  89,            0.018397,            0.015726,           0.0018661,             0.81718,             0.74586,             0.78495,             0.49331,            0.021265,            0.012074,           0.0050786,            0.004192,            0.004192,            0.004192
                  90,            0.019181,            0.015495,           0.0020678,             0.85294,             0.72397,             0.77668,             0.48099,            0.021475,            0.012151,           0.0074859,            0.004126,            0.004126,            0.004126
                  91,            0.018953,            0.016269,           0.0017358,             0.79497,             0.77392,             0.80357,             0.50706,            0.021059,            0.012084,           0.0071385,             0.00406,             0.00406,             0.00406
                  92,            0.018687,            0.016215,           0.0016893,             0.90485,             0.71213,             0.79226,             0.49928,            0.021902,            0.011972,           0.0050343,            0.003994,            0.003994,            0.003994
                  93,            0.018707,            0.016559,           0.0017598,             0.90727,             0.68367,             0.78492,             0.48348,            0.021281,             0.01198,           0.0053372,            0.003928,            0.003928,            0.003928
                  94,            0.017932,            0.015232,           0.0019096,             0.90826,             0.66585,             0.77308,             0.48837,            0.021827,            0.012107,           0.0058604,            0.003862,            0.003862,            0.003862
                  95,            0.018824,            0.016061,           0.0017256,             0.81663,             0.73277,             0.77783,             0.48663,            0.021778,            0.012047,           0.0080798,            0.003796,            0.003796,            0.003796
                  96,            0.018153,            0.015895,           0.0016978,             0.89368,             0.70565,              0.7934,              0.4976,            0.021313,            0.012009,           0.0060031,             0.00373,             0.00373,             0.00373
                  97,            0.018092,            0.015912,           0.0015472,             0.92381,             0.69619,             0.80634,             0.49845,            0.021133,            0.011988,           0.0051397,            0.003664,            0.003664,            0.003664
                  98,            0.018455,            0.015469,           0.0012896,              0.8811,             0.70272,             0.79278,             0.48164,             0.02108,            0.012178,           0.0059428,            0.003598,            0.003598,            0.003598
                  99,            0.018127,            0.016087,           0.0015113,             0.81004,             0.73994,             0.77798,             0.48519,            0.020864,            0.012105,           0.0099161,            0.003532,            0.003532,            0.003532
                 100,             0.01752,            0.015139,           0.0016281,             0.86108,             0.71996,             0.78845,             0.48623,            0.020833,            0.012056,           0.0069219,            0.003466,            0.003466,            0.003466
                 101,             0.01802,            0.015176,           0.0014738,             0.84935,             0.74178,             0.78532,             0.48812,            0.020698,            0.012062,           0.0072492,              0.0034,              0.0034,              0.0034
                 102,            0.017905,            0.015512,           0.0014227,             0.86836,             0.71456,             0.77765,             0.48219,             0.02132,            0.012086,           0.0073168,            0.003334,            0.003334,            0.003334
                 103,            0.017863,            0.015892,           0.0016005,             0.82977,             0.73256,             0.78518,             0.49674,            0.021133,            0.012116,             0.00852,            0.003268,            0.003268,            0.003268
                 104,            0.017675,            0.015055,           0.0015748,             0.81257,             0.73566,             0.78833,             0.49115,            0.021935,            0.012159,           0.0061519,            0.003202,            0.003202,            0.003202
                 105,            0.016896,              0.0148,           0.0015772,               0.865,             0.69093,             0.77303,             0.48402,            0.020961,            0.012096,           0.0061407,            0.003136,            0.003136,            0.003136
                 106,            0.017556,            0.015647,           0.0016937,             0.85234,             0.68709,             0.76139,             0.48247,            0.021017,            0.012058,           0.0064356,             0.00307,             0.00307,             0.00307
                 107,            0.017245,            0.015459,           0.0013564,             0.84968,              0.7123,             0.77756,             0.49753,            0.021377,            0.012274,           0.0049517,            0.003004,            0.003004,            0.003004
                 108,             0.01716,            0.014916,           0.0013431,             0.76934,             0.74233,             0.76544,             0.48617,            0.021293,            0.012416,           0.0054888,            0.002938,            0.002938,            0.002938
                 109,             0.01771,            0.015585,           0.0014902,             0.85842,             0.70137,             0.77007,             0.49058,            0.020822,            0.012011,           0.0061888,            0.002872,            0.002872,            0.002872
                 110,            0.017269,            0.015019,           0.0017614,             0.85398,              0.7466,             0.78676,             0.49334,            0.021424,            0.012127,           0.0046993,            0.002806,            0.002806,            0.002806
                 111,            0.016998,            0.015136,           0.0015648,             0.80304,             0.75848,                0.78,             0.49996,            0.020963,             0.01204,           0.0047935,             0.00274,             0.00274,             0.00274
                 112,            0.017068,            0.015904,            0.001314,             0.82888,             0.71726,             0.77668,             0.48958,            0.020908,             0.01213,           0.0073363,            0.002674,            0.002674,            0.002674
                 113,            0.016825,            0.014737,           0.0012776,             0.84586,              0.7173,             0.79083,             0.50266,            0.020338,            0.012103,           0.0085065,            0.002608,            0.002608,            0.002608
                 114,            0.016426,            0.015154,             0.00138,             0.90102,             0.69332,             0.78614,             0.49911,            0.020542,            0.012115,           0.0047793,            0.002542,            0.002542,            0.002542
                 115,            0.016829,            0.016198,           0.0012143,             0.88319,             0.69062,             0.78119,             0.49606,            0.021047,            0.012234,           0.0050342,            0.002476,            0.002476,            0.002476
                 116,            0.016646,            0.014766,           0.0013509,             0.86828,             0.71928,             0.77906,             0.49185,            0.020478,            0.011993,           0.0052447,             0.00241,             0.00241,             0.00241
                 117,            0.016527,            0.015342,           0.0012276,             0.87955,             0.71652,              0.7761,             0.49839,            0.020988,            0.012144,           0.0049687,            0.002344,            0.002344,            0.002344
                 118,             0.01612,             0.01539,           0.0010906,             0.86582,             0.72377,             0.78375,             0.50528,            0.020424,            0.012068,           0.0057133,            0.002278,            0.002278,            0.002278
                 119,             0.01602,            0.014545,           0.0012474,             0.86958,             0.73309,             0.78897,              0.5004,            0.020732,            0.012241,           0.0066546,            0.002212,            0.002212,            0.002212
                 120,             0.01609,            0.015078,           0.0010805,             0.87033,             0.71606,              0.7817,             0.49926,            0.020786,            0.012189,           0.0065769,            0.002146,            0.002146,            0.002146
                 121,            0.016355,            0.014774,           0.0010542,             0.86058,             0.74525,             0.78932,             0.50878,            0.020889,            0.012187,           0.0064434,             0.00208,             0.00208,             0.00208
                 122,            0.016009,            0.014963,          0.00094402,             0.86614,             0.71932,             0.78486,             0.50358,            0.020459,             0.01226,           0.0061059,            0.002014,            0.002014,            0.002014
                 123,            0.016201,            0.014922,          0.00091063,             0.86397,             0.69347,             0.76861,             0.49118,            0.020992,            0.012151,           0.0064475,            0.001948,            0.001948,            0.001948
                 124,            0.016024,            0.015422,          0.00098657,             0.88089,             0.68635,              0.7726,             0.48952,            0.020706,            0.012159,           0.0074813,            0.001882,            0.001882,            0.001882
                 125,            0.016202,            0.015801,           0.0010168,             0.82672,             0.70729,              0.7777,             0.49539,            0.020786,            0.012298,           0.0082829,            0.001816,            0.001816,            0.001816
                 126,            0.015814,            0.013898,           0.0012332,             0.79516,             0.75076,             0.77625,             0.49454,            0.020836,             0.01216,           0.0076361,             0.00175,             0.00175,             0.00175
                 127,            0.015687,            0.014716,           0.0011706,             0.85019,             0.73821,             0.78747,             0.49433,            0.020537,            0.012206,           0.0064996,            0.001684,            0.001684,            0.001684
                 128,            0.015687,            0.015712,          0.00086316,             0.84075,             0.71026,             0.77839,             0.49485,            0.020801,            0.012223,            0.005462,            0.001618,            0.001618,            0.001618
                 129,             0.01541,            0.015322,           0.0010179,             0.86406,              0.7137,             0.78361,             0.49493,             0.02025,            0.012176,           0.0055302,            0.001552,            0.001552,            0.001552
                 130,            0.015561,             0.01488,          0.00096159,             0.86411,             0.73713,             0.78799,             0.49621,            0.020951,            0.012095,             0.00573,            0.001486,            0.001486,            0.001486
                 131,            0.015409,            0.015237,          0.00092788,             0.85678,             0.72224,             0.77536,             0.49896,             0.02078,            0.012185,           0.0062929,             0.00142,             0.00142,             0.00142
                 132,            0.015469,            0.015027,          0.00090125,             0.84912,              0.6983,             0.77219,             0.50057,             0.02004,            0.012161,           0.0069358,            0.001354,            0.001354,            0.001354
                 133,            0.015479,            0.015155,          0.00096636,             0.85012,              0.7464,             0.78503,             0.49657,            0.020473,            0.012248,           0.0066376,            0.001288,            0.001288,            0.001288
                 134,            0.015619,            0.014585,           0.0011422,             0.86421,             0.74031,             0.79041,             0.50623,            0.020669,            0.012209,           0.0065046,            0.001222,            0.001222,            0.001222
                 135,            0.015269,            0.014669,           0.0010719,             0.86493,             0.74669,             0.78672,             0.50723,            0.020073,            0.012085,           0.0055542,            0.001156,            0.001156,            0.001156
                 136,            0.015343,            0.014447,          0.00097381,             0.81417,             0.72705,             0.77937,             0.50184,            0.020415,            0.012208,           0.0057134,             0.00109,             0.00109,             0.00109
                 137,            0.015505,            0.014515,          0.00092266,             0.81827,             0.73155,             0.76875,             0.49434,            0.020377,            0.012188,           0.0065561,            0.001024,            0.001024,            0.001024
                 138,            0.015059,            0.014086,          0.00091361,             0.82901,             0.71891,             0.77377,             0.49735,            0.020564,            0.012294,           0.0066433,            0.000958,            0.000958,            0.000958
